00000000-0000-0000-0000-000000000000		Null	Null	v0.0	
52C80B95-C1AD-4240-8D89-72E9FA84025E	MC-CCFG	Server Cluster: Configuration (ClusCfg) Protocol	IClusCfgAsyncEvictCleanup	v0.0	
9BE77978-73ED-4A9A-87FD-13F09FEC1B13	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostAdminManager	v0.0	
09829352-87C2-418D-8D79-4133969A489D	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostChangeHandler	v0.0	
08A90F5F-0702-48D6-B45F-02A9885A9768	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostChildElementCollection	v0.0	
DE095DB1-5368-4D11-81F6-EFEF619B7BCF	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostCollectionSchema	v0.0	
4DFA1DF3-8900-4BC7-BBB5-D1A458C52410	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConfigException	v0.0	
ADA4E6FB-E025-401E-A5D0-C3134A281F07	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConfigFile	v0.0	
832A32F7-B3EA-4B8C-B260-9A2923001184	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConfigLocationCollection	v0.0	
370AF178-7758-4DAD-8146-7391F6E18585	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConfigLocation	v0.0	
8F6D760F-F0CB-4D69-B5F6-848B33E9BDC6	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConfigManager	v0.0	
5B5A68E6-8B9F-45E1-8199-A95FFCCDFFFF	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConstantValueCollection	v0.0	
0716CAF8-7D05-4A46-8099-77594BE91394	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostConstantValue	v0.0	
C8550BFF-5281-4B1E-AC34-99B6FA38464D	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostElementCollection	v0.0	
0344CDDA-151E-4CBF-82DA-66AE61E97754	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostElementSchemaCollection	v0.0	
EF13D885-642C-4709-99EC-B89561C6BC69	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostElementSchema	v0.0	
64FF8CCC-B287-4DAE-B08A-A72CBF45F453	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostElement	v0.0	
31A83EA0-C0E4-4A2C-8A01-353CC2A4C60A	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostMappingExtension	v0.0	
D6C7CD8F-BB8D-4F96-B591-D3A5F1320269	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostMethodCollection	v0.0	
B80F3C42-60E0-4AE0-9007-F52852D3DBED	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostMethodInstance	v0.0	
2D9915FB-9D42-4328-B782-1B46819FAB9E	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostMethodSchema	v0.0	
7883CA1C-1112-4447-84C3-52FBEB38069D	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostMethod	v0.0	
E7927575-5CC3-403B-822E-328A6B904BEE	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostPathMapper	v0.0	
0191775E-BCFF-445A-B4F4-3BDDA54E2816	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostPropertyCollection	v0.0	
EAFE4895-A929-41EA-B14D-613E23F62B71	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostPropertyException	v0.0	
8BED2C68-A5FB-4B28-8581-A0DC5267419F	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostPropertySchemaCollection	v0.0	
450386DB-7409-4667-935E-384DBBEE2A9E	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostPropertySchema	v0.0	
ED35F7A1-5024-4E7B-A44D-07DDAF4B524D	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostProperty	v0.0	
B7D381EE-8860-47A1-8AF4-1F33B2B1F325	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostSectionDefinitionCollection	v0.0	
C5C04795-321C-4014-8FD6-D44658799393	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostSectionDefinition	v0.0	
0DD8A158-EBE6-4008-A1D9-B7ECC8F1104B	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostSectionGroup	v0.0	
FA7660F6-7B3F-4237-A8BF-ED0AD0DCBBD9	MC-IISA	Internet Information Services (IIS) Application Host COM Protocol	IAppHostWritableAdminManager	v0.0	
12A30900-7300-11D2-B0E6-00E02C074F6B	MC-MQAC	Message Queuing (MSMQ): ActiveX Client Protocol	IMSMQApplication2	v0.0	
EBA96B1F-2168-11D3-898C-00E02C074F6B	MC-MQAC	Message Queuing (MSMQ): ActiveX Client Protocol	IMSMQApplication3	v0.0	
D7D6E085-DCCD-11D0-AA4B-0060970DEBAE	MC-MQAC	Message Queuing (MSMQ): ActiveX Client Protocol	IMSMQApplication	v0.0	
0188AC2F-ECB3-4173-9779-635CA2039C72	MC-MQAC	Message Queuing (MSMQ): ActiveX Client Protocol	IMSMQCollection	v0.0	
EBA96B10-2168-11D3-898C-00E02C074F6B	MC-MQAC	Message Queuing (MSMQ): ActiveX Client Protocol	IMSMQCoordinatedTransactionDispenser2	v0.0	
